"Statistic Label","Week","Mode of Transport","UNIT","VALUE"
"Passenger Journeys","2019 Week 32","Bus, excluding Dublin Metro","Number","616761"
"Passenger Journeys","2019 Week 32","Rail","Number",""
"Passenger Journeys","2019 Week 32","All public transport, excluding LUAS","Number","3164567"
"Passenger Journeys","2019 Week 33","Dublin Metro Bus","Number","2724875"
"Passenger Journeys","2019 Week 33","Bus, excluding Dublin Metro","Number","697890"
"Passenger Journeys","2019 Week 33","Rail","Number",""
"Passenger Journeys","2019 Week 33","All public transport, excluding LUAS","Number","3422765"
"Passenger Journeys","2019 Week 34","Dublin Metro Bus","Number","2793023"
"Passenger Journeys","2019 Week 34","Bus, excluding Dublin Metro","Number","689702"
"Passenger Journeys","2019 Week 34","Rail","Number",""
"Passenger Journeys","2019 Week 34","All public transport, excluding LUAS","Number","3482725"
"Passenger Journeys","2019 Week 35","Dublin Metro Bus","Number","2872215"
"Passenger Journeys","2019 Week 35","Bus, excluding Dublin Metro","Number","695388"
"Passenger Journeys","2019 Week 35","Rail","Number",""
"Passenger Journeys","2019 Week 35","All public transport, excluding LUAS","Number","3567603"
"Passenger Journeys","2019 Week 36","Dublin Metro Bus","Number","2999569"
"Passenger Journeys","2019 Week 36","Bus, excluding Dublin Metro","Number","744038"
"Passenger Journeys","2019 Week 36","Rail","Number",""
"Passenger Journeys","2019 Week 36","All public transport, excluding LUAS","Number","3743607"
"Passenger Journeys","2019 Week 37","Dublin Metro Bus","Number","3109763"
"Passenger Journeys","2019 Week 37","Bus, excluding Dublin Metro","Number","820112"
"Passenger Journeys","2019 Week 37","Rail","Number",""
"Passenger Journeys","2019 Week 37","All public transport, excluding LUAS","Number","3929875"
"Passenger Journeys","2019 Week 38","Dublin Metro Bus","Number","3182473"
"Passenger Journeys","2019 Week 38","Bus, excluding Dublin Metro","Number","828356"
"Passenger Journeys","2019 Week 38","Rail","Number",""
"Passenger Journeys","2019 Week 38","All public transport, excluding LUAS","Number","4010829"
"Passenger Journeys","2019 Week 39","Dublin Metro Bus","Number","3204042"
"Passenger Journeys","2019 Week 39","Bus, excluding Dublin Metro","Number","814190"
"Passenger Journeys","2019 Week 39","Rail","Number",""
"Passenger Journeys","2019 Week 39","All public transport, excluding LUAS","Number","4018232"
"Passenger Journeys","2019 Week 40","Dublin Metro Bus","Number","3139165"
"Passenger Journeys","2019 Week 40","Bus, excluding Dublin Metro","Number","776594"
"Passenger Journeys","2019 Week 40","Rail","Number",""
"Passenger Journeys","2019 Week 40","All public transport, excluding LUAS","Number","3915759"
"Passenger Journeys","2019 Week 41","Dublin Metro Bus","Number","3243670"
"Passenger Journeys","2019 Week 41","Bus, excluding Dublin Metro","Number","824314"
"Passenger Journeys","2019 Week 41","Rail","Number",""
"Passenger Journeys","2019 Week 41","All public transport, excluding LUAS","Number","4067984"
"Passenger Journeys","2019 Week 42","Dublin Metro Bus","Number","3238993"
"Passenger Journeys","2019 Week 42","Bus, excluding Dublin Metro","Number","805498"
"Passenger Journeys","2019 Week 42","Rail","Number",""
"Passenger Journeys","2019 Week 42","All public transport, excluding LUAS","Number","4044491"
"Passenger Journeys","2019 Week 43","Dublin Metro Bus","Number","3170924"
"Passenger Journeys","2019 Week 43","Bus, excluding Dublin Metro","Number","824331"
"Passenger Journeys","2019 Week 43","Rail","Number",""
"Passenger Journeys","2019 Week 43","All public transport, excluding LUAS","Number","3995255"
"Passenger Journeys","2019 Week 44","Dublin Metro Bus","Number","2708101"
"Passenger Journeys","2019 Week 44","Bus, excluding Dublin Metro","Number","655906"
"Passenger Journeys","2019 Week 44","Rail","Number",""
"Passenger Journeys","2019 Week 44","All public transport, excluding LUAS","Number","3364007"
"Passenger Journeys","2019 Week 45","Dublin Metro Bus","Number","3130443"
"Passenger Journeys","2019 Week 45","Bus, excluding Dublin Metro","Number","775922"
"Passenger Journeys","2019 Week 45","Rail","Number",""
"Passenger Journeys","2019 Week 45","All public transport, excluding LUAS","Number","3906365"
"Passenger Journeys","2019 Week 46","Dublin Metro Bus","Number","3206894"
"Passenger Journeys","2019 Week 46","Bus, excluding Dublin Metro","Number","783830"
"Passenger Journeys","2019 Week 46","Rail","Number",""
"Passenger Journeys","2019 Week 46","All public transport, excluding LUAS","Number","3990724"
"Passenger Journeys","2019 Week 47","Dublin Metro Bus","Number","3192052"
"Passenger Journeys","2019 Week 47","Bus, excluding Dublin Metro","Number","772760"
"Passenger Journeys","2019 Week 47","Rail","Number",""
"Passenger Journeys","2019 Week 47","All public transport, excluding LUAS","Number","3964812"
"Passenger Journeys","2019 Week 48","Dublin Metro Bus","Number","3251721"
"Passenger Journeys","2019 Week 48","Bus, excluding Dublin Metro","Number","794233"
"Passenger Journeys","2019 Week 48","Rail","Number",""
"Passenger Journeys","2019 Week 48","All public transport, excluding LUAS","Number","4045954"
"Passenger Journeys","2019 Week 49","Dublin Metro Bus","Number","3215990"
"Passenger Journeys","2019 Week 49","Bus, excluding Dublin Metro","Number","773085"
"Passenger Journeys","2019 Week 49","Rail","Number",""
"Passenger Journeys","2019 Week 49","All public transport, excluding LUAS","Number","3989075"
"Passenger Journeys","2019 Week 50","Dublin Metro Bus","Number","3271738"
"Passenger Journeys","2019 Week 50","Bus, excluding Dublin Metro","Number","768340"
"Passenger Journeys","2019 Week 50","Rail","Number",""
"Passenger Journeys","2019 Week 50","All public transport, excluding LUAS","Number","4040078"
"Passenger Journeys","2019 Week 51","Dublin Metro Bus","Number","3166707"
"Passenger Journeys","2019 Week 51","Bus, excluding Dublin Metro","Number","900418"
"Passenger Journeys","2019 Week 51","Rail","Number",""
"Passenger Journeys","2019 Week 51","All public transport, excluding LUAS","Number","4067125"
"Passenger Journeys","2019 Week 52","Dublin Metro Bus","Number","1599369"
"Passenger Journeys","2019 Week 52","Bus, excluding Dublin Metro","Number","397160"
"Passenger Journeys","2019 Week 52","Rail","Number",""
"Passenger Journeys","2019 Week 52","All public transport, excluding LUAS","Number","1996529"
"Passenger Journeys","2019 Week 53","Dublin Metro Bus","Number",""
"Passenger Journeys","2019 Week 53","Bus, excluding Dublin Metro","Number",""
"Passenger Journeys","2019 Week 53","Rail","Number",""
"Passenger Journeys","2019 Week 53","All public transport, excluding LUAS","Number",""
"Passenger Journeys","2020 Week 01","Dublin Metro Bus","Number","1970550"
"Passenger Journeys","2020 Week 01","Bus, excluding Dublin Metro","Number","523817"
"Passenger Journeys","2020 Week 01","Rail","Number","697954"
"Passenger Journeys","2020 Week 01","All public transport, excluding LUAS","Number","3192321"
"Passenger Journeys","2020 Week 02","Dublin Metro Bus","Number","2830713"
"Passenger Journeys","2020 Week 02","Bus, excluding Dublin Metro","Number","652672"
"Passenger Journeys","2020 Week 02","Rail","Number","899175"
"Passenger Journeys","2020 Week 02","All public transport, excluding LUAS","Number","4382560"
"Passenger Journeys","2020 Week 03","Dublin Metro Bus","Number","2907797"
"Passenger Journeys","2020 Week 03","Bus, excluding Dublin Metro","Number","693102"
"Passenger Journeys","2020 Week 03","Rail","Number","925257"
"Passenger Journeys","2020 Week 03","All public transport, excluding LUAS","Number","4526156"
"Passenger Journeys","2020 Week 04","Dublin Metro Bus","Number","3076009"
"Passenger Journeys","2020 Week 04","Bus, excluding Dublin Metro","Number","747531"
"Passenger Journeys","2020 Week 04","Rail","Number","959703"
"Passenger Journeys","2020 Week 04","All public transport, excluding LUAS","Number","4783243"
"Passenger Journeys","2020 Week 05","Dublin Metro Bus","Number","3152056"
"Passenger Journeys","2020 Week 05","Bus, excluding Dublin Metro","Number","755189"
"Passenger Journeys","2020 Week 05","Rail","Number","1019494"
"Passenger Journeys","2020 Week 05","All public transport, excluding LUAS","Number","4926739"
"Passenger Journeys","2020 Week 06","Dublin Metro Bus","Number","3104689"
"Passenger Journeys","2020 Week 06","Bus, excluding Dublin Metro","Number","748401"
"Passenger Journeys","2020 Week 06","Rail","Number","1041672"
"Passenger Journeys","2020 Week 06","All public transport, excluding LUAS","Number","4894762"
"Passenger Journeys","2020 Week 07","Dublin Metro Bus","Number","3097986"
