Week,Mode of Transport,Year,VALUE
37,3,2020,323907.0
37,0,2020,2335157.0
38,2,2020,1517678.0
38,1,2020,438357.0
38,3,2020,289803.0
38,0,2020,2245838.0
39,2,2020,1489761.0
39,1,2020,435417.0
39,3,2020,284420.0
39,0,2020,2209598.0
40,2,2020,1554561.0
40,1,2020,405986.0
40,3,2020,275531.0
40,0,2020,2236078.0
41,2,2020,1535839.0
41,1,2020,382078.0
41,3,2020,263936.0
41,0,2020,2181853.0
42,2,2020,1297841.0
42,1,2020,319938.0
42,3,2020,197097.0
42,0,2020,1814876.0
43,2,2020,868428.0
43,1,2020,204748.0
43,3,2020,118406.0
43,0,2020,1191582.0
44,2,2020,1163897.0
44,1,2020,289411.0
44,3,2020,181839.0
44,0,2020,1635147.0
45,2,2020,1169742.0
45,1,2020,291201.0
45,3,2020,176067.0
45,0,2020,1637010.0
46,2,2020,1207986.0
46,1,2020,302115.0
46,3,2020,197427.0
46,0,2020,1707528.0
47,2,2020,1241445.0
47,1,2020,307535.0
47,3,2020,194005.0
47,0,2020,1742985.0
48,2,2020,1586454.0
48,1,2020,407988.0
48,3,2020,295306.0
48,0,2020,2289748.0
49,2,2020,1682988.0
49,1,2020,436740.0
49,3,2020,315393.0
49,0,2020,2435121.0
50,2,2020,1745336.0
50,1,2020,444680.0
50,3,2020,322484.0
50,0,2020,2512500.0
51,2,2020,1076018.0
51,1,2020,272410.0
51,3,2020,184982.0
51,0,2020,1533410.0
52,2,2020,707458.0
52,1,2020,170366.0
52,3,2020,101951.0
52,0,2020,979775.0
0,2,2021,747912.0
0,1,2021,184151.0
0,3,2021,107227.0
0,0,2021,1039290.0
1,2,2021,735000.0
1,1,2021,184333.0
1,3,2021,90529.0
1,0,2021,1009862.0
2,2,2021,731273.0
2,1,2021,184441.0
2,3,2021,93456.0
2,0,2021,1009170.0
3,2,2021,742813.0
3,1,2021,189266.0
3,3,2021,93322.0
3,0,2021,1025401.0
4,2,2021,791189.0
4,1,2021,201849.0
4,3,2021,105426.0
4,0,2021,1098464.0
5,2,2021,775491.0
5,1,2021,198989.0
5,3,2021,96338.0
5,0,2021,1070818.0
6,2,2021,849801.0
6,1,2021,210651.0
6,3,2021,114588.0
6,0,2021,1175040.0
7,2,2021,884911.0
7,1,2021,218084.0
7,3,2021,127685.0
7,0,2021,1230680.0
8,2,2021,947256.0
8,1,2021,240137.0
8,3,2021,142782.0
8,0,2021,1330175.0
9,2,2021,945236.0
9,1,2021,239123.0
9,3,2021,134132.0
9,0,2021,1318491.0
10,2,2021,963568.0
10,1,2021,246289.0
10,3,2021,144852.0
10,0,2021,1354709.0
11,2,2021,1015358.0
11,1,2021,260235.0
11,3,2021,149153.0
11,0,2021,1424746.0
12,2,2021,1007971.0
12,1,2021,259578.0
12,3,2021,172949.0
12,0,2021,1440498.0
13,2,2021,911592.0
13,1,2021,239121.0
13,3,2021,144048.0
13,0,2021,1294761.0
14,2,2021,1173468.0
14,1,2021,310154.0
14,3,2021,225466.0
14,0,2021,1709088.0
15,2,2021,1227564.0
15,1,2021,326905.0
15,3,2021,264009.0
15,0,2021,1818478.0
16,2,2021,1218011.0
16,1,2021,322352.0
16,3,2021,225261.0
16,0,2021,1765624.0
17,2,2021,1096020.0
17,1,2021,287627.0
17,3,2021,216234.0
17,0,2021,1599881.0
18,2,2021,1355893.0
18,1,2021,358853.0
18,3,2021,269055.0
18,0,2021,1983801.0
19,2,2021,1471313.0
19,1,2021,391144.0
19,3,2021,274137.0
19,0,2021,2136594.0
20,2,2021,1562407.0
20,1,2021,418633.0
20,3,2021,366784.0
